crf_step,cure_id_variable,question,derivability,registry_source,fhir_ccda_provenance,note
"PRE","therapeutic_area","Therapeutic area","Auto-derivable","Registry constant","n/a — set to ""Rare Cancers"" at export","Fixed value for this registry."
"PRE","user_type","Who is reporting this case?","Human step","Attestation step","n/a","Governance decision. A machine-derived case has no reporter until a human attests to it."
"1a","disease","What disease did the participant receive treatment for?","Derive then confirm","EHR problem list + survey","Condition.code (ICD-10-CM C00-D49, SNOMED CT)","Requires a mapping from ICD-10-CM/SNOMED to the CURE ID controlled disease list. Not one to one; needs a published crosswalk."
"1a","sarcoma_subtype_other","Sarcoma subtype if not listed","Derive then confirm","Pathology report","DiagnosticReport (LOINC 60568-3) — free text","ICD-O-3 morphology is the right source and is rarely present in patient-directed FHIR. NLP over the pathology narrative, then human confirmation."
"2a","age_diagnosis","Age at diagnosis (banded)","Auto-derivable","EHR","Patient.birthDate + Condition.onsetDateTime","Banded to the 18 CURE ID age groups (<1 month through 90+ years). Banding is also the privacy control."
"2b","sex","Sex assigned at birth","Derive then confirm","EHR + survey","US Core Birth Sex extension; fallback Patient.gender","Patient.gender is administrative gender, not sex assigned at birth. Where the extension is absent, ask on the survey rather than infer."
"3a","country_treated","Country of treatment","Auto-derivable","EHR","Organization.address.country / Encounter.serviceProvider","Defaults to United States; confirm on survey for participants with care abroad."
"3a1","races","Race","Derive then confirm","EHR + survey","US Core Race extension (OMB categories)","CURE ID uses OMB categories, so the value set aligns. EHR race is often incomplete or defaulted; the survey answer should win."
"3a2","ethnicity","Ethnicity","Derive then confirm","EHR + survey","US Core Ethnicity extension","Same precedence rule as race."
"4a","risk_factors_oncology","Predisposing risk factors","Survey only","Survey only","not represented","Agent Orange, 9/11 exposure, environmental toxin exposure, prior radiation or chemotherapy. Effectively never structured in an EHR. This is the clearest argument for keeping the survey arm."
"4b","risk_factors_TPS_oncology","Tumor predisposition syndrome","Derive then confirm","Survey + genetics","Condition.code; Observation (LOINC 69548-6 genetic variant assessment)","A GenomeConnect-style genetic health survey outperforms the EHR here for most participants."
"5a","primary_location_details_oncology_generic","Primary tumor location","Auto-derivable","EHR","Condition.bodySite; ICD-10-CM topography","Maps cleanly to the 23-item CURE ID body-site list."
"5b","disease_stage_oncology","Localized / locally advanced / metastatic","Derive then confirm","EHR + notes","Observation (LOINC 21908-9 stage group, 21914-7 clinical TNM)","Structured staging is uncommon in patient-directed pulls. Derive a first pass from secondary-malignancy codes, then confirm."
"5b1","metastatic","Metastatic site(s)","Auto-derivable","EHR","Condition.code ICD-10-CM C77-C79","Secondary neoplasm codes are well populated and map directly to the bone/brain/liver/lung/lymph-node list."
"5c","year_of_diagnosis","Year of diagnosis","Auto-derivable","EHR","Condition.onsetDateTime, fallback recordedDate","Year only. Do not export full dates."
"5d","diagnostic_delays","Time from first encounter to diagnosis","Derive then confirm","EHR-derived, participant confirmed","earliest Encounter.period.start to Condition.onsetDateTime","The EHR estimate is systematically short because it misses care before the connected system. Show the estimate, let the participant correct it."
"5e","reason_delay","Reason for diagnostic delay","Survey only","Survey only","not represented","Free text. High narrative value; no structured analogue."
"5f","signs_symptoms_at_diagnosis","Signs and symptoms at diagnosis","Derive then confirm","EHR + survey","Condition, Observation near onset date","Partially recoverable, but recall from the participant is usually richer than the coded record."
"6a","biopsy_confirmed_oncology","Biopsy or resection confirmed","Auto-derivable","EHR","Procedure (SNOMED biopsy) or DiagnosticReport surgical pathology","Presence of a surgical pathology report is strong evidence."
"6b","pathologist_reviewed_expert_oncology","Expert pathology review","Survey only","Survey only","not represented","Reviewer expertise is not a coded attribute anywhere."
"7a","genomic_testing","Genomic testing performed","Auto-derivable","EHR","DiagnosticReport (LOINC 51969-4); Observation genomic profile","Presence or absence of the report answers the yes/no reliably."
"7a1","gemonic_testing_som_germ","Somatic or germline","Derive then confirm","EHR","Observation component; specimen type","Usually inferable from the specimen and report header; confirm before export."
"7a3","genomic_testing_details","Molecular abnormality detected","Derive then confirm","EHR + NLP","Observation (LOINC 48018-6 gene studied, 48004-6 variant)","Structured where a genomics vendor feed exists; otherwise NLP over the report, then confirmation."
"7b","tumor_board_oncology","Discussed at tumor board","Survey only","Survey only","not represented","Occasionally in notes; not reliably."
"7c","alternative_diagnosis","Previously misdiagnosed","Survey only","Survey, EHR as a hint","Condition.verificationStatus = entered-in-error; problem-list churn","Problem-list churn is a useful prompt for the participant, not an answer on its own."
"8a","regimen_details_oncology","Radiation / surgery / systemic therapy","Auto-derivable","EHR","Procedure (CPT 77xxx radiation; surgical SNOMED) + MedicationRequest","The three modality flags are well supported."
"8a1","regimen_details_surgery","Best surgical outcome","Derive then confirm","Operative note","Procedure.outcome; DiagnosticReport margins","Margin status lives in the pathology narrative. NLP plus confirmation."
"8b","systemic_drug","Systemic drugs administered","Auto-derivable","EHR","MedicationRequest / MedicationDispense / MedicationStatement, RxNorm","The core of the submission. Walk every translation child of the coding so an inner RxNorm code is not lost inside an outer NDC."
"9a1","began_treatment_year_and_month","Treatment start","Auto-derivable","EHR","MedicationRequest.authoredOn; earliest dispense","Exported as year and month only."
"9a1b","ongoing","Still taking the drug","Derive then confirm","EHR + participant","MedicationStatement.status; last dispense plus days supply","A stale record looks identical to an ongoing one. Ask."
"9a1c","end_treatment_year_and_month","Treatment end","Derive then confirm","EHR + participant","last dispense + days supply, or effectivePeriod.end","Discontinuation is usually implicit. Participant confirmation matters most here."
"9a2a","drug_dose","Dose","Derive then confirm","EHR","Dosage.doseAndRate","Frequently only a free-text sig. Parse, then show for confirmation."
"9a2b","drug_frequency","Frequency","Derive then confirm","EHR","Dosage.timing","Same caveat as dose."
"9a2c","drug_route","Route of administration","Auto-derivable","EHR","Dosage.route (SNOMED)","Usually coded."
"9a3a","have_significant_adverse_events","Significant adverse event","Derive then confirm","EHR + survey","Condition / AllergyIntolerance / Observation in temporal proximity","Temporal proximity is a signal, not an attribution. Never auto-assert causality; put it to the participant or clinician."
"9a3a1","adverse_events_generic","Which adverse events","Derive then confirm","EHR + survey","Condition.code; map to the CURE ID adverse-event list","PRO-CTCAE items already in this registry give a stronger, participant-sourced answer."
"9a3b","discontinuation_drug_#_other_reason","Reason stopped","Survey only","Survey only","not represented","Adverse event, progression, participant choice, withdrawal of consent. Intent is not recorded in the EHR."
"9a4a","how_drug_used","On-label / off-label SOC / novel use","Derive then confirm","Derived","RxNorm ingredient compared with FDA labeled indication (SPL/DailyMed) against Condition.code","The pivotal computation of the whole project. Automate the first pass, require human adjudication, and keep the reasoning auditable."
"9a4b","off_label_type","In what new way was it used","Derive then confirm","Derived + survey","compare dose, route, schedule, and combination against label","New indication versus new dose, schedule, duration, route, combination, or population. Partly computable, partly judgment."
"10a","therapy_goals","Goals of the line of therapy","Survey only","Survey only","not represented","Cure, control, quality of life, symptom relief, prolonged life. Intent is not a coded field."
"10b","outcome_line_#","Best outcome on this line","Derive then confirm","EHR + survey","Observation (LOINC 21976-6 response); Condition.clinicalStatus = remission","RECIST response is almost never structured in patient-directed data. Expect this to come from the survey plus radiology-report NLP."
"10b1","outcome_duration","Duration of response","Survey only","Survey + derived","interval between response and progression observations","Derivable only where response is structured, which is rare."
"10b2","outcome_ongoing","Outcome ongoing","Survey only","Survey only","not represented","Point-in-time participant report."
"10c","line_of_therapy #_description","Other therapy details","Survey only","Survey only","not represented","Free text."
"12","outcome_at_report","Outcome at time of report","Derive then confirm","EHR + survey + mortality linkage","Patient.deceased; Condition.clinicalStatus; Observation","Loss of life is the one outcome where an external linkage (National Death Index, or a tokenized mortality file) materially improves ascertainment over the portal record."
"12a","additional_info","Additional information","Survey only","Survey only","not represented","Free text narrative."
"12c","file","Upload images or reports","Human step","Participant upload","DocumentReference (optionally pre-filled)","Participant-directed C-CDA already contains documents; offer them for selective attachment rather than asking for a re-upload."